x,y
2,8
2,7
2,6
2,5
2,4
2,3
2,2
4,2
5,2
6,2
8,2
9,2
10,2
9,1
7,2
5,1
3,5
3,6
4,6
4,5
4,4
3,4
3,3
3,2
4,3
5,3
6,3
6,4
5,4
25,0
35,0
31,1
32,1
33,1
34,1
35,1
37,1
38,1
39,1
40,1
40,2
39,2
40,4
39,5
39,6
39,8
39,9
39,10
40,10
40,9
40,8
40,7
40,6
40,5
40,3
39,3
38,3
37,3
36,3
35,3
35,2
33,2
32,2
31,2
34,2
36,2
37,2
38,2
36,1
35,4
36,4
37,4
38,4
39,4
38,5
37,5
38,6
37,6
39,7
39,31
39,32
39,33
39,34
39,35
39,36
39,37
39,38
39,39
39,40
40,40
40,38
40,37
40,36
40,35
40,34
40,33
40,31
40,32
40,39
38,35
37,35
37,36
37,37
37,38
37,39
37,40
38,40
38,36
38,37
38,39
38,38
36,37
35,37
35,38
35,39
35,40
36,40
36,38
36,39
33,39
32,39
31,39
31,40
32,40
33,40
34,40
34,39
16,41
13,41
9,41
9,40
9,39
10,39
10,40
8,40
6,40
5,40
3,40
2,40
1,40
3,41
4,40
7,40
0,28
0,32
0,12
1,31
1,33
1,34
1,35
1,36
1,37
1,39
2,39
4,39
5,39
6,39
7,39
8,39
3,39
3,38
1,38
2,38
3,37
2,37
2,35
2,33
2,32
2,31
1,32
2,34
2,36
3,36
3,35
4,35
4,36
4,37
5,38
5,37
6,37
4,38
6,38
